Airline,Airport,Age,Gender,TripPurpose,NoTripsLastYear,Destination,SeatClass,Airfare,Occupation,DepartureHr,Nationality,DepartureTime,OccupationCat,airlineCat,Inchoen,Gimpo,Male,Female,Southeast AsiaD,ChinaD,JapanD,Economy,Business,First,Leisure,BusinessPurpose,Study,OtherPurpose,HighLevelProfessionals,Service,SelfEmployed,NonWorking,KoreanMajor,KoreanLCForeign,Korea,ChinaN,JapanN,SoutheastAsiaN,OtherN,DepartureHourFilled
1.0,1,49.0,1.0,2,3,3.0,1.0,80.0,1,12,1,2,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,12.0
1.0,1,49.0,2.0,1,1,2.0,1.0,41.0,9,10,1,1,4,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10.0
1.0,1,25.0,1.0,1,1,1.0,1.0,,12,11,1,1,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,11.0
1.0,1,29.0,1.0,2,2,2.0,1.0,40.0,8,15,1,2,4,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,15.0
1.0,1,34.0,2.0,2,2,1.0,1.0,40.0,1,1,1,2,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1.0
1.0,1,43.0,1.0,4,4,1.0,1.0,34.0,1,14,1,2,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,14.0
1.0,1,43.0,2.0,4,0,1.0,1.0,34.0,9,14,1,2,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,14.0
1.0,1,52.0,1.0,1,0,2.0,1.0,56.0,2,10,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,10.0
3.0,1,24.0,2.0,1,0,3.0,1.0,34.0,12,19,1,3,3,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,19.0
1.0,1,52.0,2.0,1,2,3.0,1.0,,12,19,1,3,3,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,19.0
1.0,1,29.0,2.0,1,4,2.0,1.0,54.0,12,13,1,2,3,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,13.0
1.0,1,24.0,1.0,2,4,1.0,1.0,37.0,2,19,5,3,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,19.0
3.0,1,27.0,1.0,1,0,3.0,1.0,40.0,2,17,1,2,1,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,17.0
2.0,1,62.0,1.0,2,8,2.0,2.0,,5,10,1,3,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,10.0
